sender,receiver,date,location,identifier
SLC,Pamela A. Moffett,6 March 1881,Hartford Conn,UCCL09523 CU-MARK CU-MARK 2015
SLC,James R. Osgood,7 March 1881,Hartford Conn,UCCL01924 MH-H
SLC,A. V. S. Anthony,9 March 1881,Hartford Conn,UCCL01926 CU-MARK
SLC,James R. Osgood,9–10 March 1881,Hartford Conn,UCCL08970 MH-H
SLC,Ulysses S. Grant,15 March 1881,Hartford Conn,UCCL01927 OKeU
SLC,A. V. S. Anthony,15 March 1881,Hartford Conn,UCCL12733 CU-MARK
SLC,Pamela Clemens Moffett,16 March 1881,Hartford Conn,UCCL01928 NPV
SLC,Daniel Slote,16 March 1881,Hartford Conn,UCCL01929 NPV
SLC,American Publishing Co.,23 March 1881,Hartford Conn,UCCL01930 MoPeS
SLC,James R. Osgood,26 March 1881,Hartford Conn,UCCL01931 MH-H
SLC,James R. Osgood,30 March 1881,Hartford Conn,UCCL02551 NN-BGC
SLC,Daniel Slote,31 March 1881,Hartford Conn,UCCL01934 NPV
SLC,Daniel Slote,31 March 1881,Hartford Conn,UCCL01933 MoHi
SLC,James R. Osgood,4 April 1881,Hartford Conn,UCCL13719 2015
SLC,John R. Young,8 April 1881,Hartford Conn,UCCL02412 DLC
SLC,Francis E. Bliss,8 April 1881,Hartford Conn,UCCL12610
SLC,Francis E. Bliss,8 April 1881,Hartford Conn,UCCL02414 CtHMTH
SLC,Karl and Hattie J. Gerhardt,11–19 April 1881,Hartford Conn,UCCL01935 NNWH ViU
SLC,Francis E. Bliss,15 April 1881,Hartford Conn,UCCL01936 CAlb2
SLC,A. G. Newman,15 April 1881,Hartford Conn,UCCL02358 CU-MARK
SLC,Mary P. Fairbanks,16 April 1881,Hartford Conn,UCCL09115 CU-MARK
SLC,Laura C. Redden Searing,16 April 1881,Hartford Conn,UCCL12040 MoCoJ
SLC,William D. Howells,19 April 1881,Hartford Conn,UCCL01937 MH-H
SLC,Ulysses S. Grant,22 April 1881,Hartford Conn,UCCL12942 2015
SLC,Francis Augustus Teall,22 April 1881,Hartford Conn,UCCL01938 ViU
SLC,Charles L. Webster,26 April 1881,Hartford Conn,UCCL01942 NPV
SLC,A. V. S. Anthony,28 April 1881,Hartford Conn,UCCL01939 CU-MARK
SLC,A. V. S. Anthony,28 April–31 May 1881,Hartford Conn,UCCL12510
SLC,John R. Young,29 April 1881,Hartford Conn,UCCL01941 DLC
SLC,Charles L. Webster,29 April 1881,Hartford Conn,UCCL01940 NPV
SLC,Unidentified,May 1881,Hartford Conn,UCCL09314 CtY-BR
SLC,Unidentified,May 1881,Hartford Conn,UCCL09232 IC4 2013
SLC,Charles L. Webster,1 May 1881,Hartford Conn,UCCL01945 NPV
SLC,Charles L. Webster,1 May 1881,Hartford Conn,UCCL01944 NPV
SLC,Jane L. Clemens and Pamela Clemens Moffett,2 May 1881,Hartford Conn,UCCL01946 NPV
SLC,Charles L. Webster,2 May 1881,Hartford Conn,UCCL01947 NPV
SLC,Charles L. Webster,3 May 1881,Hartford Conn,UCCL01897 NPV
SLC,Mary M. Fairbanks,5 May 1881,Hartford Conn,UCCL04131 CSmH
SLC,Laura C. Redden Searing,6 May 1881,Hartford Conn,UCCL12039 MoCoJ
SLC,Charles L. Webster,6 May 1881,Hartford Conn,UCCL01948 NPV
SLC,James R. Osgood,7 May 1881,Hartford Conn,UCCL01949 CCC
SLC,Charles L. Webster,7 May 1881,Hartford Conn,UCCL11233 NPV
SLC,Charles L. Webster,7 May 1881,Hartford Conn,UCCL01950 NPV
SLC,Karl Gerhardt and Hattie J. Gerhardt,9 May 1881,Hartford Conn,UCCL01952 MB
SLC,James R. Osgood,12 May 1881,Hartford Conn,UCCL09209 CU-MARK
SLC,Charles L. Webster,14 May 1881,Hartford Conn,UCCL01953 NPV
SLC,James R. Osgood,16 May 1881,Hartford Conn,UCCL10435
SLC,Charles L. Webster,16 May 1881,Hartford Conn,UCCL01954 NPV
OLC,Harriet E. Whitmore,18 May 1881,Hartford Conn,UCCL01955 CtHMTH
SLC,Charles L. Webster,19 May 1881,Hartford Conn,UCCL01956 NPV
SLC,Charles L. Webster,20 May 1881,Hartford Conn,UCCL01958 NPV
SLC,Charles L. Webster,20 May 1881,Hartford Conn,UCCL01957 NPV
SLC,James R. Osgood,21 May 1881,Hartford Conn,UCCL14010 2023
SLC,Osgood (J.R.) & Co.,23 May 1881,Hartford Conn,UCCL01959 ViU
SLC,Karl Gerhardt,30 May 1881,Hartford Conn,UCCL10064 CU-MARK MB
SLC,James R. Osgood,30 May 1881,Hartford Conn,UCCL01961 CU-MARK
SLC,Francis E. Bliss,30 May 1881,Hartford Conn,UCCL01960 WU-MU
SLC,Charles L. Webster,30 May 1881,Hartford Conn,UCCL01962 NPV
SLC,Dear Madam,31 May 1881,Hartford Conn,UCCL01964 CU-MARK
SLC,Charles L. Webster,31 May 1881,Hartford Conn,UCCL01963 NPV
SLC,J. S. Wood,1 June 1881,Hartford Conn,UCCL11959
SLC,James R. Osgood,3 June 1881,Hartford Conn,UCCL01968 IU-R
SLC,A. V. S. Anthony,3 June 1881,Hartford Conn,UCCL01967 PHi
SLC,Orion Clemens,4 June 1881,Hartford Conn,UCCL01969 CU-MARK
SLC,Charles L. Webster,5 June 1881,Branford Conn,UCCL01970 ViU
SLC,OLC,7 June 1881,Hartford Conn,UCCL01839 CLjC CU-MARK 2025
SLC,John Henton Carter,11 June 1881,Hartford Conn,UCCL10700 OMC
Samuel L. Clemens,James R. Osgood,13 June 1881,Hartford Conn,UCCL12944 In 2012
SLC,Robert Chaffee Morgan,14–27 June 1881,Hartford or Branford Conn,UCCL13650 TxAu3 2017
SLC,Osgood (J.R.) & Co.,16 June 1881,Branford Conn,UCCL01972 ViU
SLC,Francis E. Bliss,16 June 1881,Branford Conn,UCCL11208 ODa2
SLC,Charles L. Webster,19 June 1881,Branford Conn,UCCL10904 NPV
SLC,Charles L. Webster,20 June 1881,Branford Conn,UCCL01975 NPV
SLC,Charles L. Webster,21 June 1881,Branford Conn,UCCL01977 NPV
SLC,Lillie Israel,24 June 1881,Hartford Conn,UCCL13541
SLC,Karl and Hattie J. Gerhardt,26 June 1881,Branford Conn,UCCL01978 TxAu3 NHC
OLC,Mollie Clemens,1–26 July 1881,Branford Conn,UCCL01979 CU-MARK
SLC,Osgood (J.R.) & Co.,2 July 1881,Branford Conn,UCCL01980 CtY-BR
SLC,Charles E. Perkins,2 July 1881,Branford Conn,UCCL01981 CtHMTH
SLC,Unidentified,5 July 1881,Branford Conn,UCCL01982 NjP
SLC,Charles L. Webster,9 July 1881,Branford Conn,UCCL01983 NPV
SLC,Charles L. Webster,10 July 1881,Branford Conn,UCCL01984 ViU
SLC,Mrs. Embury,17 July 1881,Branford Conn,UCCL13241
SLC,George Washington Cable,17 July 1881,Branford Conn,UCCL01985 LNT
SLC,Joel Chandler Harris,17–31 July 1881,Branford Conn,UCCL12345
SLC,Francis E. Bliss,18 July 1881,Branford Conn,UCCL08911 NcU
SLC,Reginald Cholmondeley,24 July 1881,Branford Conn,UCCL01987 CU-MARK
SLC,Percy Frederick Sinnett,24 July 1881,Hartford Conn,UCCL09442
SLC,Joseph G. Hickman,24 July 1881,Branford Conn,UCCL01989
SLC,Charles Eliot Norton,24 July 1881,Branford Conn,UCCL01988 CU-MARK
SLC,Australian public,24 July 1881,Branford Conn,UCCL01990
SLC,Charles L. Webster,28 July 1881,Branford Conn,UCCL09235 NPV
SLC,G. Bradford Dudman,29 July 1881,Hartford Conn,UCCL11893 CU-MARK
SLC,Karl and Hattie J. Gerhardt,31 July 1881,Branford Conn,UCCL01991 MB
SLC,Benjamin H. Ticknor,1 August 1881,Branford Conn,UCCL01992 CtY-BR
SLC,Osgood (J.R.) & Co.,6 August 1881,Elmira N.Y,UCCL09234 CtHMTH
SLC,Franklin G. Whitmore,6 August 1881,Elmira N.Y,UCCL01993 CU-MARK
SLC OLC,Hattie J. Gerhardt,7 August 1881,Elmira N.Y,UCCL02552 NN-BGC
SLC,Franklin G. Whitmore,8 August 1881,Elmira N.Y,UCCL01996 CtHMTH
SLC,Robert G. Ingersoll,10 August 1881,Elmira N.Y,UCCL01998 CU-MARK
SLC,Joel Chandler Harris,10 August 1881,Elmira N.Y,UCCL01997 GEU
OLC,George H. Warner,10 August 1881,Elmira N.Y,UCCL01999 CtHMTH
SLC,Benjamin H. Ticknor,11 August 1881,Elmira N.Y,UCCL02000 CtY-BR
SLC,William D. Howells,12 August 1881,Elmira N.Y,UCCL02001 MH-H
SLC,Franklin G. Whitmore,12 August 1881,Elmira N.Y,UCCL02004 CU-MARK
SLC,Charles L. Webster,12 August 1881,Elmira N.Y,UCCL02003 NPV
SLC,Charles L. Webster,12 August 1881,Elmira N.Y,UCCL02002 NPV
SLC,William B. Dougherty,14 August 1881,Elmira N.Y,UCCL13885 2023
SLC,Charles L. Webster,14 August 1881,Elmira N.Y,UCCL02025 NPV
SLC,Benjamin H. Ticknor,14 August 1881,Elmira N.Y,UCCL02006 CtY-BR
SLC,Benjamin H. Ticknor,15 August 1881,Elmira N.Y,UCCL02007 TxAu3 2024
SLC,Benjamin H. Ticknor,16–22 August 1881,Elmira N.Y,UCCL02133
SLC,John Esten Cooke,17 August 1881,Elmira N.Y,UCCL02010 DLC
SLC,Charles L. Webster,17 August 1881,Elmira N.Y,UCCL02008 NPV
OLC,Lilly Gillette Foote,17 August 1881,Elmira N.Y,UCCL12339
SLC,William D. Howells,18 August 1881,Elmira N.Y,UCCL02009 MH-H
SLC,John B. Downing,18 August 1881,Elmira N.Y,UCCL02021
SLC,Franklin G. Whitmore,18 August 1881,Elmira N.Y,UCCL09007 CtHMTH
SLC,James R. Osgood,22 August 1881,Elmira N.Y,UCCL02011 MH-H
SLC,James R. Osgood,23 August 1881,Elmira N.Y,UCCL02013
SLC,Charles L. Webster,23 August 1881,Elmira N.Y,UCCL02014 NPV
SLC,Charles Eliot Norton,23 August 1881,Elmira N.Y,UCCL02012 CU-MARK CU-MARK
SLC,OLC,25 August 1881,Boston Mass,UCCL12729 CU-MARK
SLC,OLC,25 August 1881,Boston Mass,UCCL02015 CCamarSJ
SLC,Chatto & Windus,25 August 1881,Boston Mass,UCCL01591 UkReU
OLC,Charles L. Webster,25 August 1881,Elmira N.Y,UCCL02016 NPV
SLC,Charles L. Webster,26 August 1881,Boston Mass,UCCL02017 NPV
SLC,Charles E. Norton,30 August 1881,Elmira N.Y,UCCL02018 MH-H
SLC,Karl Gerhardt and Hattie J. Gerhardt,31 August 1881,Elmira N.Y,UCCL12693 CtHMTH
SLC,Karl Gerhardt and Hattie J. Gerhardt,31 August 1881,Elmira N.Y,UCCL02019 CLjC MB
SLC,Charles L. Webster,31 August 1881,Elmira N.Y,UCCL02020 NPV
SLC,Charles L. Webster,2 September 1881,Elmira N.Y,UCCL02022 NPV
SLC,William D. Howells,3 September 1881,Elmira N.Y,UCCL02023 MH-H
SLC,Franklin G. Whitmore,3 September 1881,Elmira N.Y,UCCL02024 CtHMTH
SLC,H. M. Lawrence per Charles L. Webster and Cable Operator,4 September 1881,Elmira N.Y,UCCL01951 CtHMTH 2025
SLC,Charles L. Webster,4 September 1881,Elmira N.Y,UCCL02026 NPV
SLC,William D. Howells,5 September 1881,Elmira N.Y,UCCL02027 MH-H
SLC,Josiah G. Holland,5 September 1881,Elmira N.Y,UCCL02028 CCC
SLC,Charles L. Webster,6 September 1881,Elmira N.Y,UCCL02029 NPV
SLC,Charles L. Webster,7 September 1881,Elmira N.Y,UCCL02031 NPV
SLC,Charles L. Webster,7 September 1881,Elmira N.Y,UCCL02030 NPV
SLC,Charles L. Webster,9 September 1881,Elmira N.Y,UCCL02033 NPV
SLC,Benjamin H. Ticknor,9 September 1881,Elmira N.Y,UCCL02032 CtY
SLC,Franklin G. Whitmore,10 September 1881,Elmira N.Y,UCCL02034 CU-MARK
SLC,Charles L. Webster,17 September 1881,Elmira N.Y,UCCL02035 NPV
SLC,Mary M. Fairbanks,18 September 1881,Elmira N.Y,UCCL02036 CSmH
SLC,Louis C. Tiffany,18 September 1881,Elmira N.Y,UCCL02416 NPV
SLC,Charles L. Webster,18 September 1881,Elmira N.Y,UCCL02039 NPV 2017
SLC,W. H. Lentz,19 September 1881,Elmira N.Y,UCCL09393
SLC,Unidentified,19 September 1881,Elmira N.Y,UCCL02040 CtY
SLC,Thomas Bailey Aldrich,19 September 1881,Elmira N.Y,UCCL02037 MH-H
SLC,Jane L. Clemens,19 September 1881,Elmira N.Y,UCCL02038 NPV
SLC,Charles S. Fairchild,22 September 1881,Hartford Conn,UCCL02278 CtHMTH
SLC,James R. Osgood,2 October 1881,Hartford Conn,UCCL02041 ViU
SLC,Charles L. Webster,2 October 1881,Hartford Conn,UCCL02042 NPV
SLC,Osgood (J.R.) & Co.,3–11 October 1881,Hartford Conn,UCCL12730 CU-MARK
SLC,James R. Osgood,4 October 1881,Hartford Conn,UCCL13536
SLC,Edward H. House,4 October 1881,Hartford Conn,UCCL02043 ViU
SLC,Elisabeth N. Fairchild,6 October 1881,Hartford Conn,UCCL02045 ODa2
SLC,Stephen C. Massett,7 October 1881,Hartford Conn,UCCL02047 Axelrod
SLC,Chatto & Windus,7 October 1881,Hartford Conn,UCCL02046 Uk
SLC,Charles L. Webster,7 October 1881,Hartford Conn,UCCL02044 NPV
SLC,Edward H. House,8 October 1881,Hartford Conn,UCCL02048 ViU
SLC,Karl Gerhardt and Hattie J. Gerhardt,9 October 1881,Hartford Conn,UCCL02049 MB
SLC,Joseph H. Twichell,9 October 1881,Hartford Conn,UCCL12777 CU-MARK
SLC,Stephen C. Massett,10 October 1881,Hartford Conn,UCCL02050 CaQMMRB
SLC,Charles L. Webster,10 October 1881,Hartford Conn,UCCL02051 NPV
SLC,Benjamin H. Ticknor,10 October 1881,Hartford Conn,UCCL12678 CtHMTH
SLC,William D. Howells,15 October 1881,Hartford Conn,UCCL02053 MH-H
SLC,Osgood (J.R.) & Co.,15 October 1881,Hartford Conn,UCCL02054 CSmH
SLC,Orion Clemens,15 October 1881,Hartford Conn,UCCL02052 CU-MARK
SLC,Charles L. Webster,18 October 1881,Hartford Conn,UCCL02055 NPV
SLC,Kate D. Barstow,19 October 1881,Hartford Conn,UCCL09415 CU-MARK
SLC,James R. Osgood,19 October 1881,Hartford Conn,UCCL02056 TxU-Hu
SLC,Osgood (J.R.) & Co.,21 October 1881,Hartford Conn,UCCL08618 CU-MARK
SLC,James R. Osgood,21 October 1881,Hartford Conn,UCCL02058 CtY-BR
SLC,Edward H. House,21 October 1881,Hartford Conn,UCCL02057 ViU
SLC,Bruce W. Munro,21 October 1881,Hartford Conn,UCCL11682 InFw2
SLC,William D. Whitney,24 October 1881,Hartford Conn,UCCL02062 NPV
SLC,James R. Osgood,24 October 1881,Hartford Conn,UCCL02061 Axelrod
SLC,James R. Osgood,24 October 1881,Hartford Conn,UCCL02060 CU-MARK
SLC,Edward H. House,24 October 1881,Hartford Conn,UCCL02059 ViU
SLC,Unidentified,25 October 1881,Hartford Conn,UCCL02065 OOxM
SLC,John C. Kinney,25 October 1881,Hartford Conn,UCCL09114 Dn
SLC,James R. Osgood,25 October 1881,Hartford Conn,UCCL02064 CU-MARK
SLC,Charles L. Webster,25 October 1881,Hartford Conn,UCCL02066 NPV
SLC OLC,Susan L. Crane,26 October 1881,Hartford Conn,UCCL08726 CU-MARK
SLC,William D. Howells,26 October 1881,Hartford Conn,UCCL02553 NN-BGC
SLC,Orion Clemens,26 October 1881,Hartford Conn,UCCL02068 NPV
SLC,Hjalmar H. Boyesen,26 October 1881,Hartford Conn,UCCL02067
SLC,Edward H. House,26 October 1881,Hartford Conn,UCCL02069 ViU
SLC,Charles W. Stoddard,26 October 1881,Hartford Conn,UCCL02554 NN-BGC
SLC,Charles L. Webster,26 October 1881,Hartford Conn,UCCL02072 NPV
SLC,James R. Osgood,27 October 1881,Hartford Conn,UCCL09947 MoHM
SLC,James R. Osgood,27 October 1881,Hartford Conn,UCCL02074 CU-MARK
SLC,Charles L. Webster,27 October 1881,Hartford Conn,UCCL01965
SLC,Katherine K. Walker,28 October 1881,Hartford Conn,UCCL02076 2013
SLC,James R. Osgood,28 October 1881,Hartford Conn,UCCL02555 NN-BGC
SLC,Charles L. Webster,28 October 1881,Hartford Conn,UCCL02077 NPV
SLC,Unidentified,30 October 1881,Hartford Conn,UCCL12654 NPV
SLC,Alice Dinsmoor,30 October 1881,Hartford Conn,UCCL01694 NPV
SLC,Katherine K. Walker,31 October 1881,Hartford Conn,UCCL09233 CU-MARK 2019
SLC,James R. Osgood,31 October 1881,Hartford Conn,UCCL02078 PU
SLC,James R. Osgood,1 November 1881,Hartford Conn,UCCL02079 MH-H
SLC,Thomas Bailey Aldrich,2 November 1881,Hartford Conn,UCCL02080 MH-H
SLC,Osgood (J.R.) & Co.,2 November 1881,Hartford Conn,UCCL12731 CU-MARK 2010
SLC,James R. Osgood,2 November 1881,Hartford Conn,UCCL11171 CU-MARK
SLC,Daniel W. Wilder,2 November 1881,Hartford Conn,UCCL02082 CU-MARK
SLC,Karl and Hattie J. Gerhardt,7 November 1881,Hartford Conn,UCCL02083 MB
SLC,James R. Osgood,7 November 1881,Hartford Conn,UCCL09346 CU-MARK
SLC,David Gray,9 November 1881,Hartford Conn,UCCL11409 NHyF
SLC,Orion Clemens,11 November 1881,Hartford Conn,UCCL02085 NPV
SLC,John W. Sanborn,11 November 1881,Hartford Conn,UCCL10423
SLC,Andrew Chatto,11 November 1881,Hartford Conn,UCCL02556 NN-BGC
SLC,Charles L. Webster,15 November 1881,Hartford Conn,UCCL02086 NPV
SLC,L. P. Hubbard,16 November 1881,Hartford Conn,UCCL02089
SLC,Edward H. House,16 November 1881,Hartford Conn,UCCL02088 ViU
SLC,David Watt Bowser,16 November 1881,Hartford Conn,UCCL02087 TxU-Hu
SLC,Charles L. Webster,17 November 1881,Hartford Conn,UCCL02090 NPV
SLC,Charles L. Webster,19 November 1881,Hartford Conn,UCCL02092 NPV
SLC,Charles L. Webster,19 November 1881,Hartford Conn,UCCL02091 NPV
SLC,Orion Clemens,21 November 1881,Hartford Conn,UCCL02093 NPV
SLC,Karl and Hattie J. Gerhardt,21 November 1881,Hartford Conn,UCCL02094 NjNH2
SLC,Edward H. House,21 November 1881,Hartford Conn,UCCL02095 ViU
SLC,W. H. Lentz,22 November 1881,Hartford Conn,UCCL02096
SLC,Unidentified,22 November 1881,Hartford Conn,UCCL11413
SLC,Charles L. Webster,22 November 1881,Hartford Conn,UCCL02097 NPV
SLC,Charles L. Webster,24 November 1881,Hartford Conn,UCCL02098 NPV
SLC,Elinor M. Howells,25 November 1881,Hartford Conn,UCCL02099 MH-H
SLC,OLC and Family,27 November 1881,Montreal Quebec Canada,UCCL02101 CU-MARK 2018
SLC,Chatto & Windus,27 November 1881,Montreal Canada,UCCL02100 UkReU
SLC,Charles L. Webster,27 November 1881,Montreal Canada,UCCL02102 NPV
SLC,OLC,28 November 1881,Montreal Canada,UCCL11717 Mo4
SLC,OLC,28 November 1881,Montreal Canada,UCCL02103 CU-MARK
SLC,James R. Osgood,28 November 1881,Montreal Canada,UCCL02104 MH-H
SLC,OLC,29 November 1881,Montreal Canada,UCCL02105 CU-MARK
SLC,OLC,1 December 1881,Montreal Canada,UCCL02107 CU-MARK
SLC,OLC,2 December 1881,Quebec Canada,UCCL02108 CU-MARK
SLC,OLC,4 December 1881,Quebec Canada,UCCL02109 2013
SLC,OLC,6 December 1881,Montreal Canada,UCCL02110 Mo4
SLC,OLC,7 December 1881,Montreal Canada,UCCL02111 Mo4
SLC,OLC,8 December 1881,Montreal Canada,UCCL12732 CU-MARK
SLC,James R. Osgood,8 December 1881,Montreal Canada,UCCL02112 MoSW
SLC,Matthew H. Bartlett,10–31 December 1881,Hartford Conn,UCCL12430
SLC,Sarah Pratt McLean,12 December 1881,Hartford Conn,UCCL02115 ViU
SLC,Joel Chandler Harris,12 December 1881,Hartford Conn,UCCL02114 GEU
SLC,Jeannette L. Gilder,12 December 1881,Hartford Conn,UCCL02113 CU-MARK
SLC,James R. Osgood,12 December 1881,Hartford Conn,UCCL02116 NhD
SLC,Charles E. Perkins,12 December 1881,Hartford Conn,UCCL01739 CtHMTH
SLC,William D. Howells,16 December 1881,Hartford Conn,UCCL02557 NN-BGC 2015
OLC,Harriet E. Whitmore,17 December 1881,Hartford Conn,UCCL02118 CtHMTH
SLC,Springfield Republican editor,18 December 1881,Hartford Conn,UCCL02119
SLC,Robert J. Burdette,20 December 1881,Hartford Conn,UCCL09317 CtHMTH
SLC,Pamela Clemens Moffett,20 December 1881,Hartford Conn,UCCL02121 NPV
SLC,Nathaniel J. Burton,20 December 1881,Hartford Conn,UCCL12930 CU-MARK
SLC,Mary Mason Fairbanks,20 December 1881,Hartford Conn,UCCL11210 CPac2
SLC,Edwin Pond Parker,20 December 1881,Hartford Conn,UCCL10807 NN-BGC
SLC,Clara Trowbridge,20 December 1881,Hartford Conn,UCCL02558 NN-BGC
SLC,Clara L. Spaulding,20 December 1881,Hartford Conn,UCCL09777
SLC,Charles Warren Stoddard,20 December 1881,Hartford Conn,UCCL09316
SLC,Jane L. Clemens,20–31 December 1881,Hartford Conn,UCCL09315 ViU
SLC,Unidentified,23 December 1881,Hartford Conn,UCCL11009 CtHMTH
OLC,Charles L. Webster,23 December 1881,Hartford Conn,UCCL02125 CU-MARK NPV
SLC,Susy (Olivia Susan) Clemens,25 December 1881,Hartford Conn,UCCL10644 NN-BGC
SLC,Louis Frechette,25 December 1881,Hartford Conn,UCCL09651
SLC,Lilly G. Warner,25 December 1881,Hartford Conn,UCCL11075 ViU
SLC,Clara L. Clemens,25 December 1881,Hartford Conn,UCCL11444
OLC,Susy (Olivia Susan) Clemens,25 December 1881,Hartford Conn,UCCL12634
SLC,Edward H. House,27 December 1881,Hartford Conn,UCCL02126 ViU
SLC,Osgood (J.R.) & Co.,28 December 1881,Hartford Conn,UCCL02128 MH-H
SLC,Nathaniel J. Burton,28 December 1881,Hartford Conn,UCCL02127 CU-MARK 2010
SLC,James R. Osgood,29 December 1881,Hartford Conn,UCCL02559 NN-BGC
SLC,Philip A. Rollins,31 December 1881,Hartford Conn,UCCL10694 NjP
SLC,James R. Osgood,31 December 1881,Hartford Conn,UCCL02130 MH-H
SLC,Charles L. Webster,31 December 1881,Hartford Conn,UCCL02131 NPV
SLC per Telegraph Operator,Salt Lake Convention Committee,31 December 1881,Hartford Conn,UCCL14088 2024
SLC,William M. Clemens,January 1882,Hartford Conn,UCCL02139
SLC,Susan L. Crane,1882–1888,Hartford Conn,UCCL08725 CU-MARK 2009
SLC,Unidentified,2 January 1882,Hartford Conn,UCCL10347
SLC,Koto House,2 January 1882,Hartford Conn,UCCL09648 ViU
SLC,Charles L. Webster,2 January 1882,Hartford Conn,UCCL02141 NPV
SLC,James R. Osgood,4 January 1882,Hartford Conn,UCCL02142 ViU
SLC,A. V. S. Anthony,4 January 1882,Hartford Conn,UCCL09318
SLC,Charles L. Webster,5 January 1882,Hartford Conn,UCCL02144 NPV
SLC,Whitelaw Reid,6–28 January 1882,Hartford Conn,UCCL02140 CU-MARK
SLC,James R. Osgood,7 January 1882,Hartford Conn,UCCL02145 MH-H
SLC per Franklin G. Whitmore,Edwin Wesley Montgomery,7 January 1882,Hartford Conn,UCCL11643 CU-MARK
SLC,John R. Young,9 January 1882,Hartford Conn,UCCL02146 DLC
SLC,David Watt Bowser,10 January 1882,Hartford Conn,UCCL02147 TxU-Hu
SLC,Charles L. Webster,10–11 January 1882,Hartford Conn,UCCL02148 NPV
SLC,Hjalmar H. Boyesen,11 January 1882,Hartford Conn,UCCL02149 ViU
SLC,William D. Howells,18 January 1882,Hartford Conn,UCCL02150 MH-H
SLC per Unidentified,Chatto & Windus,18 January 1882,Hartford Conn,UCCL11890 DFo
SLC,Samuel Hollyer,21 January 1882,Hartford Conn,UCCL09178 CLj2
SLC,Orion Clemens,21 January 1882,Hartford Conn,UCCL02153 CU-MARK
SLC,Lucy Hooper,21 January 1882,Hartford Conn,UCCL02151 ViU
SLC,Charles L. Webster,21 January 1882,Hartford Conn,UCCL02152 NPV
SLC,Louis Frechette,22 January 1882,Hartford Conn,UCCL11813 CaOOAMS
SLC,James R. Osgood,25 January 1882,Hartford Conn,UCCL02154 CU-MARK
SLC,George William Curtis,25 January 1882,Hartford Conn,UCCL09530 ODa2 CU-MARK 2025
SLC,William D. Howells,28 January 1882,Hartford Conn,UCCL02560 NN-BGC
SLC,A. R. Gunnison,31 January 1882,Hartford Conn,UCCL13385
SLC,Unidentified,February 1882,Hartford Conn,UCCL09319 CU-MARK
SLC,John R. Young,3 February 1882,Hartford Conn,UCCL02156 DLC
SLC,Moncure D. Conway,5 February 1882,Hartford Conn,UCCL02157 NvU
SLC,E. B. Peck,11 February 1882,Hartford Conn,UCCL02158 TxU-Hu
SLC,James R. Osgood,12 February 1882,Hartford Conn,UCCL02159 MH-H
SLC,Joseph H. Twichell,18 February 1882,Hartford Conn,UCCL02132 CtY-BR 2015
SLC,Unidentified,19 February 1882,Hartford Conn,UCCL02160 Axelrod
SLC,Mary M. Fairbanks,21 February 1882,Hartford Conn,UCCL02162 CSmH
SLC,Charles E. Wood,21 February 1882,Hartford Conn,UCCL02161 ViU
SLC,Unidentified,22 February 1882,Hartford Conn,UCCL09320 MiMtpT
SLC,Mary C. Noyes,23 February 1882,Hartford Conn,UCCL02163 CU-MARK 2018
SLC,Edward H. House,23 February 1882,Hartford Conn,UCCL02164 ViU
SLC,Karl Gerhardt and Hattie J. Gerhardt,24 February 1882,Hartford Conn,UCCL02165 CLjC
SLC,Edward W. Bok,24 February 1882,Hartford Conn,UCCL02166
SLC,James R. Osgood,1 March 1882,Hartford Conn,UCCL10437 CU-MARK
SLC,Charles L. Webster,2 March 1882,Hartford Conn,UCCL02168 NPV
SLC,John W. Sanborn,3 March 1882,Hartford Conn,UCCL10424
SLC,Andrew Chatto,3 March 1882,Hartford Conn,UCCL02169 CtY-BR
SLC,James R. Osgood,4 March 1882,Hartford Conn,UCCL02561 NN-BGC
SLC,John R. Young,6 March 1882,Hartford Conn,UCCL02170 DLC
SLC,John R. Young,13 March 1882,Hartford Conn,UCCL02171 DLC
SLC,William D. Howells,14 March 1882,Hartford Conn,UCCL09215 MH-H
SLC,William D. Howells,14 March 1882,Hartford Conn,UCCL02172 MH-H
